Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7",C_Disc_D5.0mm_W2.5mm_P2.50mm,7,0.1u,
J6,PinHeader_1x17_P2.54mm_Vertical,1,Column,
J8,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,1,M68_Kbd_Con,
J9,PinHeader_1x09_P2.54mm_Vertical,1,row,
"R1, R14, R2, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,4.7k,
"R10, R11, R12, R13, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,1k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,R,
U1,DIP-14_W7.62mm_Socket_LongPads,1,74HC164,
U2,DIP-14_W7.62mm_Socket_LongPads,1,74LS04,
U3,DIP-14_W7.62mm_Socket_LongPads,1,74LS32,
U4,DIP-16_W7.62mm_Socket_LongPads,1,74LS161,
U5,DIP-24_W15.24mm_Socket_LongPads,1,74159,
U6,DIP-16_W7.62mm_Socket_LongPads,1,74LS166,
U7,DIP-14_W7.62mm_Socket_LongPads,1,74LS06,
