Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,73,1N4148,
J1,PinSocket_1x10_P2.54mm_Horizontal,1,To74166,
J2,PinSocket_1x16_P2.54mm_Horizontal,1,From74159,
SW1,CherryMX_Red,1,ESC,
SW10,CherryMX_Red,1,9,
SW11,CherryMX_Red,1,0,
SW12,CherryMX_Red,1,-,
SW13,CherryMX_Red,1,^,
SW14,CherryMX_Red,1,\,
SW15,CherryMX_Red,1,DEL,
SW16,CherryMX_Red,1,TAB,
SW17,CherryMX_Red,1,Q,
SW18,CherryMX_Red,1,W,
SW19,CherryMX_Red,1,E,
SW2,CherryMX_Red,1,1,
SW20,CherryMX_Red,1,R,
SW21,CherryMX_Red,1,T,
SW22,CherryMX_Red,1,Y,
SW23,CherryMX_Red,1,U,
SW24,CherryMX_Red,1,I,
SW25,CherryMX_Red,1,O,
SW26,CherryMX_Red,1,P,
SW27,CherryMX_Red,1,@,
SW28,CherryMX_Red,1,[,
SW29,CherryMX_Red,1,RETURN,
SW3,CherryMX_Red,1,2,
"SW30, SW62",CherryMX_Red,2,CTRL,
SW31,CherryMX_Red,1,A,
SW32,CherryMX_Red,1,S,
SW33,CherryMX_Red,1,D,
SW34,CherryMX_Red,1,F,
SW35,CherryMX_Red,1,G,
SW36,CherryMX_Red,1,H,
SW37,CherryMX_Red,1,J,
SW38,CherryMX_Red,1,K,
SW39,CherryMX_Red,1,L,
SW4,CherryMX_Red,1,3,
SW40,CherryMX_Red,1,;,
SW41,CherryMX_Red,1,:,
SW42,CherryMX_Red,1,],
SW43,CherryMX_Red,1,LF,
SW44,CherryMX_Red,1,Z,
SW45,CherryMX_Red,1,X,
SW46,CherryMX_Red,1,C,
SW47,CherryMX_Red,1,V,
SW48,CherryMX_Red,1,B,
SW49,CherryMX_Red,1,SPACE_01,
SW5,CherryMX_Red,1,4,
SW50,CherryMX_Red,1,N,
SW51,CherryMX_Red,1,M,
SW52,CherryMX_Red,1,",",
SW53,CherryMX_Red,1,.,
SW54,CherryMX_Red,1,/,
SW55,CherryMX_Red,1,_,
SW56,CherryMX_Red,1,LEFT,
SW57,CherryMX_Red,1,RIGHT,
SW58,CherryMX_Red,1,DOWN,
SW59,CherryMX_Red,1,UP,
SW6,CherryMX_Red,1,5,
SW60,CherryMX_Red,1,S1,
SW61,CherryMX_Red,1,S2,
SW63,CherryMX_Red,1,SHIFT,
SW64,CherryMX_Red,1,SMALL,
SW65,CherryMX_Red,1,RESET,
SW66,CherryMX_Red,1,KANA,
SW67,CherryMX_Red,1,F1,
SW68,CherryMX_Red,1,F2,
SW69,CherryMX_Red,1,F3,
SW7,CherryMX_Red,1,6,
SW70,CherryMX_Red,1,F4,
SW71,CherryMX_Red,1,F5,
SW72,CherryMX_Red,1,F6,
SW73,CherryMX_Red,1,F7,
SW8,CherryMX_Red,1,7,
SW9,CherryMX_Red,1,8,
