Designator,Mid X,Mid Y,Rotation,Layer
D1,12.9794,79.9774,180.0,top
D10,184.2008,80.0028,180.0,top
D11,203.2254,79.7996,180.0,top
D12,222.0468,79.8504,180.0,top
D13,241.0714,79.9266,180.0,top
D14,260.096,80.01,180.0,top
D15,278.892,80.01,180.0,top
D16,12.9032,61.0036,180.0,top
D17,31.8516,60.9528,180.0,top
D18,51.0032,61.0544,180.0,top
D19,69.7484,60.9528,180.0,top
D2,32.131,79.9012,180.0,top
D20,89.0016,61.0544,180.0,top
D21,108.1786,60.9528,180.0,top
D22,127.0254,60.9528,180.0,top
D23,146.177,61.0544,180.0,top
D24,165.1,60.96,180.0,top
D25,184.15,61.029,180.0,top
D26,202.946,60.96,180.0,top
D27,222.0468,60.9782,180.0,top
D28,241.1476,61.0798,180.0,top
D29,279.2984,60.9782,180.0,top
D3,50.9778,79.952,180.0,top
D30,13.1572,42.0552,180.0,top
D31,32.004,42.0298,180.0,top
D32,50.9016,41.979,180.0,top
D33,70.104,42.106,180.0,top
D34,89.154,42.0044,180.0,top
D35,108.2294,41.9282,180.0,top
D36,127.0254,41.9536,180.0,top
D37,146.05,41.9282,180.0,top
D38,164.9222,42.0044,180.0,top
D39,184.0484,42.0298,180.0,top
D4,70.1802,79.952,180.0,top
D40,202.9714,42.0552,180.0,top
D41,222.3008,42.0044,180.0,top
D42,241.5032,42.0552,180.0,top
D43,278.9174,42.0044,180.0,top
D44,32.2834,23.056,180.0,top
D45,51.3588,22.8782,180.0,top
D46,70.0532,22.9798,180.0,top
D47,89.4588,23.0306,180.0,top
D48,108.4072,22.9798,180.0,top
D49,127.127,23.056,180.0,top
D5,89.2048,80.0028,180.0,top
D50,146.2278,23.056,180.0,top
D51,165.0492,23.1068,180.0,top
D52,184.15,22.86,180.0,top
D53,202.9714,23.0306,180.0,top
D54,222.2754,23.0306,180.0,top
D55,241.0206,23.0306,180.0,top
D56,260.223,23.0306,180.0,top
D57,279.1206,23.0052,180.0,top
D58,260.1214,41.9536,180.0,top
D59,259.8928,61.029,180.0,top
D6,108.331,79.952,180.0,top
D60,50.9778,4.0568,180.0,top
D61,70.1548,4.0568,180.0,top
D62,279.0952,4.006,180.0,top
D63,13.081,22.9544,180.0,top
D64,12.9286,4.1076,180.0,top
D65,32.131,4.0568,180.0,top
D66,260.0198,4.0314,180.0,top
D67,127.2794,4.0568,180.0,top
D68,145.8976,4.006,180.0,top
D69,165.2016,3.9044,180.0,top
D7,127.254,79.952,180.0,top
D70,183.9976,3.9552,180.0,top
D71,203.1238,3.8282,180.0,top
D72,222.1484,3.879,180.0,top
D73,241.2746,3.9044,180.0,top
D8,145.8468,79.952,180.0,top
D9,165.3032,79.952,180.0,top
J1,178.542,108.4,270.0,top
J2,141.6558,108.4,270.0,top
SW1,13.0,89.47,0.0,top
SW10,184.0,89.47,0.0,top
SW11,203.0,89.47,0.0,top
SW12,222.0,89.47,0.0,top
SW13,241.0,89.47,0.0,top
SW14,260.0,89.47,0.0,top
SW15,279.0,89.47,0.0,top
SW16,13.0,70.47,0.0,top
SW17,32.0,70.47,0.0,top
SW18,51.0,70.47,0.0,top
SW19,70.0,70.47,0.0,top
SW2,32.0,89.47,0.0,top
SW20,89.0,70.47,0.0,top
SW21,108.0,70.47,0.0,top
SW22,127.0,70.4864,0.0,top
SW23,146.0,70.47,0.0,top
SW24,165.0,70.47,0.0,top
SW25,184.0,70.47,0.0,top
SW26,203.0,70.47,0.0,top
SW27,222.0,70.47,0.0,top
SW28,241.0,70.47,0.0,top
SW29,279.0,70.47,0.0,top
SW3,51.0,89.47,0.0,top
SW30,13.0,51.47,0.0,top
SW31,32.0,51.47,0.0,top
SW32,51.0,51.47,0.0,top
SW33,70.0,51.47,0.0,top
SW34,89.0,51.47,0.0,top
SW35,108.0,51.47,0.0,top
SW36,127.0,51.47,0.0,top
SW37,146.0,51.47,0.0,top
SW38,165.0,51.47,0.0,top
SW39,184.0,51.47,0.0,top
SW4,70.0,89.47,0.0,top
SW40,203.0,51.47,0.0,top
SW41,222.0,51.47,0.0,top
SW42,241.0,51.47,0.0,top
SW43,279.0,51.47,0.0,top
SW44,32.0,32.47,0.0,top
SW45,51.0,32.47,0.0,top
SW46,70.0,32.47,0.0,top
SW47,89.0,32.47,0.0,top
SW48,108.0,32.47,0.0,top
SW49,127.0,32.47,0.0,top
SW5,89.0,89.47,0.0,top
SW50,146.0,32.47,0.0,top
SW51,165.0,32.47,0.0,top
SW52,184.0,32.47,0.0,top
SW53,203.0,32.47,0.0,top
SW54,222.0,32.47,0.0,top
SW55,241.0,32.47,0.0,top
SW56,260.0,32.47,0.0,top
SW57,279.0,32.47,0.0,top
SW58,260.0,51.47,0.0,top
SW59,260.0,70.47,0.0,top
SW6,108.0,89.47,0.0,top
SW60,51.0,13.47,0.0,top
SW61,70.0,13.47,0.0,top
SW62,279.0,13.47,0.0,top
SW63,13.0,32.47,0.0,top
SW64,13.0,13.47,0.0,top
SW65,32.0,13.47,0.0,top
SW66,260.0,13.47,0.0,top
SW67,127.0,13.47,0.0,top
SW68,146.0,13.47,0.0,top
SW69,165.0,13.47,0.0,top
SW7,127.0,89.47,0.0,top
SW70,184.0,13.47,0.0,top
SW71,203.0,13.47,0.0,top
SW72,222.0,13.47,0.0,top
SW73,241.0,13.47,0.0,top
SW8,146.0,89.47,0.0,top
SW9,165.0,89.47,0.0,top
